WKT,id
"POINT (107.633432801368 -6.97209557699639)",intersection_node_1
"POINT (107.633465350493 -6.97206075388371)",intersection_node_2
"POINT (107.633416584133 -6.97205313861849)",intersection_node_3
"POINT (107.631813125021 -6.97093183118054)",intersection_node_4
"POINT (107.63144754105 -6.97145144997083)",intersection_node_5
"POINT (107.631713576334 -6.97171722198182)",intersection_node_6
"POINT (107.631889299864 -6.97187080244148)",intersection_node_7
"POINT (107.632594566298 -6.97246156564862)",intersection_node_8
"POINT (107.63279923217 -6.9726429420242)",intersection_node_9
"POINT (107.63288024867 -6.97270001237715)",intersection_node_10
"POINT (107.633248514477 -6.97306355467476)",intersection_node_11
"POINT (107.63328177502 -6.97315882251886)",intersection_node_310
"POINT (107.633350601453 -6.97311398926718)",intersection_node_311
"POINT (107.630881939133 -6.97104228110562)",intersection_node_14
"POINT (107.630625790745 -6.97136553563369)",intersection_node_15
"POINT (107.628979970044 -6.97130982302)",intersection_node_16
"POINT (107.628922519993 -6.97129786609666)",intersection_node_17
"POINT (107.62877898153 -6.97122157683418)",intersection_node_18
"POINT (107.62892369956 -6.97123350019944)",intersection_node_19
"POINT (107.628835087058 -6.97122618360184)",intersection_node_20
"POINT (107.628795125764 -6.97089219519738)",intersection_node_21
"POINT (107.6288170668 -6.97027633741626)",intersection_node_95
"POINT (107.628804877336 -6.96995449393165)",intersection_node_96
"POINT (107.628834763303 -6.96960591326781)",intersection_node_97
"POINT (107.628830942997 -6.96966374242596)",intersection_node_98
"POINT (107.628910999611 -6.97163492440018)",intersection_node_30
"POINT (107.628914503038 -6.97154136661798)",intersection_node_31
"POINT (107.628966997212 -6.97154193032875)",intersection_node_32
"POINT (107.628965778266 -6.97163146545313)",intersection_node_33
"POINT (107.628917135088 -6.97149303370619)",intersection_node_34
"POINT (107.628895079372 -6.96966531858215)",intersection_node_35
"POINT (107.628849576621 -6.97089644558487)",intersection_node_99
"POINT (107.628583354786 -6.97120624679269)",intersection_node_39
"POINT (107.628314661387 -6.97119209330002)",intersection_node_40
"POINT (107.62815899028 -6.97118841424579)",intersection_node_41
"POINT (107.628880560161 -6.97028260394456)",intersection_node_100
"POINT (107.628894683243 -6.96970101194355)",intersection_node_101
"POINT (107.62757244379 -6.97082602726298)",intersection_node_44
"POINT (107.626943858683 -6.97113088054642)",intersection_node_45
"POINT (107.626979062324 -6.97082933188363)",intersection_node_46
"POINT (107.626990796871 -6.97053166563133)",intersection_node_47
"POINT (107.627580845229 -6.97054410921526)",intersection_node_48
"POINT (107.626989362287 -6.97020013867118)",intersection_node_49
"POINT (107.628173463082 -6.97057761175608)",intersection_node_50
"POINT (107.6275914753 -6.97019957340671)",intersection_node_51
"POINT (107.628173463082 -6.97023761941477)",intersection_node_52
"POINT (107.627609062263 -6.96990474695296)",intersection_node_53
"POINT (107.627575471291 -6.96961659472898)",intersection_node_54
"POINT (107.628185461213 -6.96993234216281)",intersection_node_55
"POINT (107.628194588083 -6.96963726374874)",intersection_node_56
"POINT (107.627893589768 -6.96991664392976)",intersection_node_57
"POINT (107.627287301004 -6.97020183578202)",intersection_node_58
"POINT (107.628516740545 -6.96994560238766)",intersection_node_59
"POINT (107.628473323905 -6.97087888590222)",intersection_node_60
"POINT (107.627869886797 -6.97084534231228)",intersection_node_61
"POINT (107.628515968817 -6.9702643963729)",intersection_node_62
"POINT (107.6278652814 -6.97021452144448)",intersection_node_63
"POINT (107.627849248703 -6.97055397943071)",intersection_node_64
"POINT (107.627268514487 -6.97083062608431)",intersection_node_66
"POINT (107.628681441886 -6.97124875723559)",intersection_node_67
"POINT (107.62858394634 -6.97124387783491)",intersection_node_68
"POINT (107.628689013333 -6.97112954937424)",intersection_node_69
"POINT (107.62877898153 -6.97122157683418)",intersection_node_70
"POINT (107.627394619411 -6.96976732749136)",intersection_node_71
"POINT (107.627856648413 -6.9695648345613)",intersection_node_72
"POINT (107.627852982377 -6.96961655648463)",intersection_node_73
"POINT (107.627454400113 -6.96983432626606)",intersection_node_74
"POINT (107.62721095709 -6.97004771115326)",intersection_node_75
"POINT (107.628692456915 -6.96960022515351)",intersection_node_76
"POINT (107.628549195451 -6.969592641001)",intersection_node_77
"POINT (107.628405933987 -6.96959927713445)",intersection_node_79
"POINT (107.628264582675 -6.969592641001)",intersection_node_80
