WKT,id,from_node,to_node,is_one_way,speed_pedestrian,speed_motorcycle,speed_car,is_pedestrian_allowed,is_motorcycle_allowed,is_car_allowed
"LINESTRING (107.62884622422 -6.96934331191891,107.628674341323 -6.96930636680281)",main_edge_64,intersection_node_103,intersection_node_82,true,5,20,15,true,true,true
"LINESTRING (107.628834763303 -6.96960591326781,107.628692456915 -6.96960022515351)",main_edge_65,intersection_node_97,intersection_node_76,false,5,20,15,true,true,true
"LINESTRING (107.628549195451 -6.969592641001,107.628405933987 -6.96959927713445)",main_edge_66,intersection_node_77,intersection_node_79,false,5,20,15,true,true,true
"LINESTRING (107.633416584133 -6.97205313861849,107.63297962435 -6.97176582839508,107.632690964609 -6.97155045353654,107.632439113828 -6.97137161540913,107.631813125021 -6.97093183118054)",main_edge_1,intersection_node_3,intersection_node_4,false,5,20,15,true,true,false
"LINESTRING (107.633468675858 -6.97209313800926,107.633573657757 -6.97216490032647)",main_edge_143,gate_1,intersection_node_167,false,5,20,15,true,true,false
"LINESTRING (107.631713576334 -6.97171722198182,107.631889299864 -6.97187080244148)",main_edge_4,intersection_node_6,intersection_node_7,false,5,20,15,true,true,true
"LINESTRING (107.633573657757 -6.97216490032647,107.633921493333 -6.97239004327665)",main_edge_144,intersection_node_167,intersection_node_175,false,5,20,15,true,true,true
"LINESTRING (107.632594566298 -6.97246156564862,107.63279923217 -6.9726429420242)",main_edge_6,intersection_node_8,intersection_node_9,false,5,20,15,true,true,true
"LINESTRING (107.63279923217 -6.9726429420242,107.63288024867 -6.97270001237715,107.63288024867 -6.97270001237715)",main_edge_7,intersection_node_9,intersection_node_10,false,5,20,15,true,true,true
"LINESTRING (107.633248514477 -6.97306355467476,107.633182293752 -6.9729800864451)",main_edge_253,intersection_node_11,intersection_node_306,false,5,20,15,true,false,true
"LINESTRING (107.633921493333 -6.97239004327665,107.633968403072 -6.97248316892884)",main_edge_145,intersection_node_175,intersection_node_170,true,5,20,15,true,true,true
"LINESTRING (107.633921493333 -6.97239004327665,107.634013436422 -6.97243288107896)",main_edge_146,intersection_node_175,intersection_node_171,true,5,20,15,true,true,true
"LINESTRING (107.630625790745 -6.97136553563369,107.630625790745 -6.97136553563369,107.630735904599 -6.97126225225124,107.630881939133 -6.97104228110562)",main_edge_256,intersection_node_15,intersection_node_14,false,5,20,15,true,true,true
"LINESTRING (107.628979970044 -6.97130982302,107.628922519993 -6.97129786609666)",main_edge_255,intersection_node_16,intersection_node_17,false,5,20,15,true,true,true
"LINESTRING (107.628979970044 -6.97130982302,107.628966997212 -6.97154193032875)",main_edge_71,intersection_node_16,intersection_node_32,false,5,20,15,true,true,true
"LINESTRING (107.62877898153 -6.97122157683418,107.628795125764 -6.97089219519738)",main_edge_16,intersection_node_18,intersection_node_21,true,5,20,15,true,true,true
"LINESTRING (107.628966997212 -6.97154193032875,107.628965778266 -6.97163146545313)",main_edge_72,intersection_node_32,intersection_node_33,false,5,20,15,true,true,true
"LINESTRING (107.6278652814 -6.97021452144448,107.6275914753 -6.97019957340671)",main_edge_30,intersection_node_63,intersection_node_51,false,5,20,15,true,true,false
"LINESTRING (107.6275914753 -6.97019957340671,107.627459 -6.9700676)",main_edge_31,intersection_node_51,parkiran_motor_kantin_asrama_putra,false,5,20,15,true,true,false
"LINESTRING (107.628692456915 -6.96960022515351,107.628674341323 -6.96930636680281)",main_edge_33,intersection_node_77,intersection_node_82,false,5,20,15,true,true,true
"LINESTRING (107.628549195451 -6.969592641001,107.628692456915 -6.96960022515351)",main_edge_91,intersection_node_77,intersection_node_76,false,5,20,15,true,true,true
"LINESTRING (107.628532959152 -6.96941630942055,107.628549195451 -6.969592641001)",main_edge_92,intersection_node_93,intersection_node_77,false,5,20,15,true,true,true
"LINESTRING (107.628532959152 -6.96941630942055,107.628517192575 -6.96926736989556)",main_edge_38,intersection_node_93,intersection_node_83,true,5,20,15,true,true,true
"LINESTRING (107.628405933987 -6.96959927713445,107.628390652764 -6.96941630942055)",main_edge_39,intersection_node_79,intersection_node_92,false,5,20,15,true,true,true
"LINESTRING (107.628376544445 -6.96926269026647,107.628390652764 -6.96941630942055)",main_edge_40,intersection_node_88,intersection_node_92,false,5,20,15,true,true,true
"LINESTRING (107.628376544445 -6.96926269026647,107.628435475226 -6.969241631935)",main_edge_41,intersection_node_88,intersection_node_84,false,5,20,15,true,true,true
"LINESTRING (107.628674341323 -6.96930636680281,107.628517192575 -6.96926736989556)",main_edge_43,intersection_node_82,intersection_node_83,false,5,20,15,true,true,true
"LINESTRING (107.628405933987 -6.96959927713445,107.628264582675 -6.969592641001)",main_edge_44,intersection_node_79,intersection_node_80,false,5,20,15,true,true,true
"LINESTRING (107.628264582675 -6.969592641001,107.627987610511 -6.96958410882928)",main_edge_45,intersection_node_80,intersection_node_81,false,5,20,15,true,true,true
"LINESTRING (107.627987610511 -6.96958410882928,107.627856648413 -6.9695648345613)",main_edge_46,intersection_node_81,intersection_node_72,false,5,20,15,true,true,true
"LINESTRING (107.62782730957 -6.96932508531714,107.627811594695 -6.96921277421996)",main_edge_48,intersection_node_85,intersection_node_90,false,5,20,15,true,true,true
"LINESTRING (107.628264582675 -6.969592641001,107.628237164418 -6.969313019099)",main_edge_50,intersection_node_80,intersection_node_87,false,5,20,15,true,true,true
"LINESTRING (107.628237164418 -6.969313019099,107.628376544445 -6.96926269026647)",main_edge_51,intersection_node_87,intersection_node_88,false,5,20,15,true,true,true
